Del_lines,COMM,ADEV,CountLineCodeExe,CountLineCode,Added_lines,CountSemicolon,OWN_COMMIT,CountStmt,CountOutput_Max,CountOutput_Mean,CountLine,DDEV,CountStmtExe,CountLineCodeDecl,CountLineBlank,CountDeclClassMethod,CountStmtDecl,MAJOR_COMMIT,OWN_LINE
22,8,8,117,196,43,123,0.375,151,18,6.23529411764706,275,3,65,90,48,1,86,3,0.647272727272727
112,14,14,222,387,164,142,0.285714285714286,223,17,4.88636363636364,590,6,136,116,64,5,87,6,0.532203389830509
1,1,1,9,28,1,16,1.0,23,3,2.0,78,1,9,14,8,0,14,1,0.538461538461538
111,17,17,246,465,126,188,0.470588235294118,313,14,3.96491228070175,721,5,200,144,104,7,113,5,0.438280166435506
147,15,15,306,538,185,260,0.466666666666667,384,19,5.29508196721311,708,5,264,172,127,2,120,5,0.823446327683616
93,15,15,273,418,73,204,0.533333333333333,290,11,4.91489361702128,530,4,169,108,82,20,121,4,0.615094339622641
240,2,2,48,88,480,38,1.0,61,4,1.71428571428571,240,1,31,31,22,0,30,1,1.0
236,23,23,246,407,447,231,0.304347826086957,321,17,4.83333333333333,549,6,185,136,61,12,136,4,0.493624772313297
211,49,49,1149,1673,306,925,0.510204081632653,1224,102,8.68571428571429,2185,6,708,511,387,105,516,5,0.732723112128146
39,10,10,62,110,35,63,0.5,84,9,5.92307692307692,177,4,47,43,29,7,37,4,0.548022598870056
349,12,12,281,506,404,267,0.5,363,27,9.78048780487805,598,4,172,222,60,41,191,4,0.488294314381271
1,1,1,5,15,1,9,1.0,12,4,3.0,46,1,4,8,4,0,8,1,0.847826086956522
15,7,7,12,32,23,16,0.571428571428571,22,5,4.4,78,3,11,15,8,5,11,3,0.461538461538462
910,20,20,370,573,1813,303,0.65,448,28,5.2037037037037,898,3,314,133,138,2,134,3,0.959910913140312
76,11,11,251,473,66,195,0.454545454545455,319,19,4.26229508196721,780,5,198,140,95,17,121,5,0.474358974358974
23,6,6,106,170,25,102,0.666666666666667,129,13,7.0,238,3,66,63,30,12,63,3,0.630252100840336
1911,79,79,1281,1840,3094,877,0.455696202531646,1227,57,10.2626262626263,2724,6,882,395,465,15,345,4,0.614537444933921
131,10,10,101,189,153,124,0.4,165,20,5.95833333333333,258,5,88,73,34,20,77,5,0.604651162790698
46,10,10,127,222,71,125,0.5,172,21,6.13636363636364,332,4,89,93,59,9,83,4,0.882530120481928
182,27,27,319,597,249,329,0.703703703703704,468,16,3.13392857142857,909,5,269,199,172,3,199,3,0.677667766776678
798,74,74,764,1132,1233,562,0.310810810810811,795,29,8.92537313432836,1586,7,532,295,243,39,263,4,0.489281210592686
247,15,15,879,1095,214,786,0.866666666666667,917,64,14.4222222222222,1325,3,568,348,149,0,349,3,0.814339622641509
55,7,7,907,1230,167,681,0.428571428571429,920,57,4.31914893617021,1550,3,729,191,146,22,191,3,0.885161290322581
1,1,1,43,82,2,50,1.0,65,9,3.45454545454545,130,1,28,38,18,1,37,1,0.715384615384615
39,10,10,17,39,104,23,0.8,31,12,6.66666666666667,101,3,12,21,9,0,19,3,0.435643564356436
128,22,22,255,386,167,199,0.409090909090909,294,29,8.36842105263158,619,5,191,96,76,0,103,3,0.554119547657512
38,7,7,26,58,43,31,0.428571428571429,43,12,4.75,116,3,21,27,20,2,22,3,0.663793103448276
27,4,4,93,149,225,78,0.5,107,22,14.6666666666667,198,3,68,41,22,0,39,3,0.823232323232323
135,7,7,22,35,191,22,0.857142857142857,29,14,8.0,56,2,17,12,9,0,12,2,1.0
61,23,23,215,409,173,197,0.478260869565217,298,57,4.94642857142857,586,5,179,119,104,2,119,4,0.302047781569966
187,31,31,1002,1628,193,952,0.387096774193548,1406,20,4.84659090909091,2435,7,937,483,433,17,469,4,0.55564681724846
7,4,4,25,52,8,36,0.5,42,15,9.33333333333333,89,3,18,24,7,0,24,3,0.651685393258427
123,19,19,209,351,180,199,0.421052631578947,269,20,6.93939393939394,577,5,150,137,92,20,119,5,0.386481802426343
334,8,8,460,658,565,351,0.375,512,37,3.54285714285714,810,3,362,144,106,22,150,3,0.565432098765432
17,19,19,17,48,250,18,0.578947368421053,28,4,2.11111111111111,66,3,15,21,17,0,13,3,0.939393939393939
52,11,11,329,502,131,290,0.636363636363636,384,27,4.75806451612903,580,4,183,162,46,26,201,4,0.498275862068966
0,1,1,0,11,1,9,1.0,10,1,1.0,44,1,0,10,3,0,10,1,1.0
67,14,14,216,384,249,208,0.357142857142857,289,12,3.56410256410256,532,5,165,118,71,10,124,5,0.379699248120301
147,7,7,5,42,287,40,0.857142857142857,41,1,0.655172413793103,139,2,0,41,27,0,41,2,1.0
58,13,13,88,123,98,93,0.461538461538462,105,25,7.6,186,5,66,40,20,4,39,5,0.478494623655914
1025,8,8,1216,1593,1345,898,0.75,1150,56,6.72857142857143,2132,3,968,224,253,4,182,3,0.850844277673546
26,10,10,114,191,285,85,0.6,115,15,6.94736842105263,226,4,50,81,35,19,65,4,0.716814159292035
135,19,19,288,434,485,192,0.578947368421053,275,15,6.85714285714286,522,2,169,107,52,3,106,2,0.902298850574713
167,36,36,322,572,303,274,0.666666666666667,415,18,5.56896551724138,835,7,272,178,138,18,143,4,0.625149700598802
1776,99,99,948,1876,2170,845,0.464646464646465,1332,54,2.93125,2720,8,782,559,419,8,550,5,0.620588235294118
168,41,41,369,679,325,336,0.658536585365854,501,28,4.11111111111111,905,6,284,234,195,99,217,4,0.748066298342541
0,2,2,575,771,57,452,1.0,560,36,5.4,849,1,386,169,45,5,174,1,1.0
650,45,45,662,1243,1044,639,0.533333333333333,954,22,4.49079754601227,1825,7,576,391,256,6,378,4,0.332602739726027
166,10,10,102,266,345,106,0.4,174,23,4.88461538461539,382,5,99,117,76,3,75,5,0.769633507853403
30,5,5,330,471,30,258,1.0,357,21,4.11363636363636,543,1,216,118,41,21,141,1,0.998154981549816
4,3,3,5,20,13,9,0.666666666666667,14,2,1.5,27,2,4,11,6,0,10,2,0.37037037037037
1,3,3,1504,1905,20,1029,0.666666666666667,1305,6,2.95238095238095,2348,2,1023,376,94,63,282,2,0.517461669505963
607,14,14,154,274,1332,147,0.428571428571429,211,26,4.35483870967742,725,3,127,84,74,3,84,3,0.900689655172414
