Added_lines,COMM,Del_lines,ADEV,CountInput_Mean,OWN_COMMIT,MAJOR_COMMIT,CountClassCoupled,MaxNesting_Mean,DDEV,CountPath_Mean,CountOutput_Mean,CountPath_Max,CountStmtExe,AvgLineCode,MaxNesting_Max,AvgLineComment,CountInput_Max,AvgLine,CountDeclMethodPrivate
0,0,44,0,0.8026315789473681,0.6578947368421052,0,2,0.394736842105263,0,1.9868421052631575,2.664473684210526,2,3,5,0,0,1,6,0
0,0,0,0,2.208333333333329,0.0,0,5,0.6923076923076916,0,1.708333333333329,2.9583333333333286,6,64,5,3,0,7,6,0
3576,1,3,1,3.5050048392300233,0.9876923076923074,1,5,0.5198877566090687,1,1755581.20788687,2.713102484138078,960018431,1291,5,2,0,6,5,263
324,12,98,12,3.9489931107578142,0.684615384615384,3,9,0.7300184800184806,3,12692.647257551642,4.431173820879697,423680,194,9,2,0,11,11,11
105,7,118,7,4.632137592137591,0.7797202797202799,2,9,0.951910992233572,2,499.7107862407865,3.583759213759214,8739,161,10,3,1,14,13,5
552,10,170,10,4.473684210526319,0.6999999999999995,3,10,1.02325581395349,3,2.6578947368421098,4.631578947368421,16,232,10,5,0,22,12,8
0,0,2,0,2.8413265306122435,0.2857142857142856,0,1,0.2598214285714284,0,1.0997023809523814,1.90280612244898,1,8,3,0,0,5,3,0
31,3,32,3,4.087683628364641,0.5176470588235292,1,21,0.7555140130918676,1,3.1334083158099144,3.924713884770126,31,257,8,4,1,45,10,4
0,0,0,0,1.5383771929824557,0.1315789473684209,0,1,0.1657894736842103,0,1.0,1.6162280701754383,1,1,2,0,0,2,2,0
0,0,0,0,6.375,0.0,0,0,0.4545454545454549,0,1.25,1.875,2,13,4,1,4,35,8,0
0,0,0,0,0.3103448275862068,0.0,0,4,0.0,0,1.0,6.844827586206897,1,5,10,0,2,0,17,0
1254,1,0,1,125.5,1.0,1,0,0.0,1,1.0,1.0,1,250,4,0,0,250,4,0
0,0,0,0,3.0,0.0,0,6,0.710526315789474,0,1.5,5.53333333333333,3,134,10,2,1,19,12,0
0,0,0,0,9.666666666666666,0.0,0,1,2.600000000000001,0,557.3333333333329,5.6666666666666705,1667,46,17,4,6,13,24,0
17,8,15,8,4.857142857142861,0.5,3,7,1.75,3,12.428571428571392,7.571428571428576,120,132,21,4,4,10,28,11
203,1,0,1,2.0909090909090904,1.0,1,0,0.5199999999999997,1,1.6363636363636396,3.36363636363636,9,70,6,2,0,7,6,2
836,8,327,8,3.2760075605145973,0.875,2,19,0.7679037566678019,2,2.512913846716666,2.688933601609657,76,154,5,2,0,7,5,0
4,1,4,1,22.53846153846149,1.0,1,2,1.3999999999999997,1,11.307692307692294,2.6153846153846203,92,374,45,3,4,158,58,3
0,0,0,0,0.0,0.0,0,1,0.0,0,1.0,3.1,1,1,4,0,1,0,4,0
0,0,0,0,4.0,0.0,0,0,0.0,0,1.0,2.66666666666667,1,3,3,0,0,11,3,0
174,6,63,6,3.5131693401356667,0.5959595959595957,2,12,0.6255006336676032,2,10.691207172373517,3.380429456833525,612,213,6,4,4,13,11,4
0,0,0,0,3.25,0.0,0,20,0.5,0,1.25,9.0,2,29,12,1,0,13,13,0
540,14,146,14,4.145833333333329,0.5714285714285712,4,45,1.4901960784313697,4,13.1875,8.395833333333334,328,432,14,4,2,14,17,24
0,0,0,0,29.0,0.0,0,1,0.5999999999999996,0,1.875,2.375,4,26,33,1,0,216,34,2
0,0,0,0,3.1536293164200164,0.0232558139534883,0,3,0.2304439746300211,0,1.162790697674416,2.153276955602535,2,15,3,0,0,9,3,0
0,0,0,0,2.9774774774774793,0.0,0,1,1.01333333333333,0,1.9954954954955,4.004504504504499,2,449,4,5,0,220,4,1
0,0,0,0,0.0,0.0,0,0,0.0,0,1.0,0.0,1,0,2,0,0,0,2,0
0,0,0,0,13.212244897959197,0.0,0,1,0.1697191697191697,0,1.3699443413729149,1.9384044526901676,4,16,3,0,0,77,3,0
0,0,0,0,9.415066026410589,0.5,0,6,1.0106209150326777,0,5.751800720288113,7.111344537815119,116,463,12,4,0,124,13,3
0,0,0,0,2.522727272727273,0.0,0,1,0.0,0,1.0,0.5527716186252772,1,121,1,0,0,121,1,0
0,0,0,0,2.95652173913043,0.0,0,7,0.8860759493670893,0,2.69565217391304,3.101449275362319,36,262,7,5,5,12,13,4
128,7,93,7,5.454956807897986,0.5959595959595966,2,10,0.805189829327761,2,4.062320032908267,4.872069107363225,49,192,8,3,3,15,13,11
296,15,122,15,12.5090909090909,0.4000000000000001,3,28,0.9322033898305084,3,3.0,4.436363636363638,17,284,10,3,2,332,13,0
0,0,0,0,4.5,0.0,0,8,1.0,0,1.75,5.5,3,37,9,2,0,7,10,0
0,0,0,0,4.0,0.0,0,0,0.0,0,1.0,2.66666666666667,1,3,3,0,0,11,3,0
0,0,0,0,1.5,0.0,0,8,0.0,0,1.0,2.0,1,9,6,0,4,3,10,0
0,0,0,0,3.515527950310559,0.4285714285714285,0,3,1.1017430845017069,0,2.304347826086957,3.552795031055904,9,91,9,4,0,8,11,4
0,0,0,0,6.0,0.0,0,5,1.375,0,2.75,8.5,4,28,14,2,3,9,18,0
64,3,10,3,2.0588235294117605,0.6666666666666674,2,5,1.142857142857139,2,13.3529411764706,3.3529411764705896,194,93,11,4,3,5,14,5
172,3,2,3,3.0,0.6666666666666675,2,3,3.25,2,3.5,4.0,5,13,16,4,9,5,25,0
44,1,0,1,1.8000000000000014,0.9833333333333332,1,0,0.5000000000000001,1,1.2611111111111095,1.5527777777777787,1,5,4,0,0,2,4,0
43,2,7,2,1.6149659863945556,0.9111111111111112,1,2,0.2751322751322748,1,1.1147392290249425,1.3993197278911595,1,8,2,0,0,3,2,0
0,0,0,0,2.0,0.0,0,0,0.2999999999999999,0,1.25,1.125,3,10,3,1,4,5,7,0
45,1,7,1,2.214285714285708,1.0,1,16,0.46875,1,2.2380952380952404,2.452380952380949,25,108,7,3,2,9,9,1
0,2,6,2,0.0,1.0,1,1,0.0,1,1.0,2.0,1,21,4,0,0,0,4,0
0,0,0,0,2.134556574923548,0.0,0,4,0.7183486238532106,0,1.5412844036697235,4.4663608562691115,2,10,8,1,0,3,8,0
