CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,1,33,1,9,1,0,9,1,1,0,0,1,9,11,1,9,9,12,0,0,1,0,0,9,9,12,13,0,0.8500000000000001,9,12,1,11,0,9,1,0,0,1,1,0,22,4.77777777777778,0,1,1.0,1,1,1.0,1,0,0.0,0,1,1,1,33,0,1.0,1.0,0,1,1,0
1,2,17,1,0,1,1,3,1,2,1,0,1,3,0,1,3,3,6,0,0,1,2,3,3,3,6,12,2,0.0,5,8,1,4,0,2,1,66,1,0,0,1,1,0.33333333333333265,0,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,1.0,0.0,0,1,0,0
0,2,79,0,0,0,0,5,0,5,0,1,0,5,43,0,5,5,14,0,1,0,5,6,5,5,14,27,6,1.6157142857142854,8,20,0,14,0,5,0,59,2,0,5,1,6,3.6979591836734684,1,3,1.8979591836734684,0,0,0.9999999999999999,0,1,0.12755102040816324,0,0,0,0,1,1,0.5074002432093551,0.5918367346938775,0,3,0,1
0,3,77,1,0,1,0,4,1,5,0,2,1,4,49,1,4,4,11,0,1,1,4,5,4,4,11,21,5,2.3483333333333336,7,16,1,11,0,4,1,50,2,0,4,1,8,3.9166666666666665,0,3,1.8124999999999996,1,1,1.0,1,0,0.0,0,1,1,1,4,4,0.49945887445887444,1.0,0,4,1,2
0,3,17,1,0,1,0,2,1,3,0,0,1,2,0,1,2,2,6,0,1,1,2,3,2,2,6,11,3,0.0,6,9,1,6,0,2,1,0,2,0,0,1,4,2.5,1,2,1.5,1,1,1.0,1,0,0.0,0,0,0,0,0,0,1.0,0.0,0,1,0,0
4,116,3130,382,3,2,124,443,24,140,1,23,5,17,461,2,17,98,672,1,3,408,7,1807,412,29,264,2620,1016,0.1714285714285714,66,1280,69,1192,1,15,26,99,1,0,92,1,35,4.730519480519482,0,174,12.297555385790652,0,705465,41496.718296409446,1,7,1.221088435374152,0,4,4,1,1473,1461,0.7739881666952503,0.8142857142857146,0,1,1,3
4,16,1042,17,0,2,3,202,4,19,40,2,4,48,145,5,48,175,220,0,2,20,44,545,181,96,232,803,391,0.18000000000000005,101,623,17,455,1,8,4,97,1,0,44,2,14,4.395833333333329,0,26,9.5625,2,159,10.541666666666693,1,5,1.3454545454545501,0,24,24,5,420,177,0.36468330134356997,0.41666666666666696,1,4,4,7
5,149,3878,1,0,1,2,30,1,150,4,0,1,23,36,1,23,29,53,0,2,2,17,3066,29,23,51,3133,1429,0.0161764705882353,713,1481,1,1450,0,18,1,55,1,0,5,1,8,1.1163101604278056,0,6,1.8923010380622838,0,5,1.051038062283737,1,2,0.49450247388675106,0,6,6,1,4687,2706,0.9805645312871643,0.761764705882353,0,1,1,1
1,3,69,1,0,1,1,6,1,4,1,0,1,6,27,2,6,6,15,0,0,1,5,12,6,6,13,32,9,0.84,10,22,1,15,0,5,1,80,3,0,5,2,7,3.5,2,4,2.5,2,1,1.0,1,0,0.0,0,5,5,4,12,10,0.9420289855072459,0.40000000000000013,0,2,4,0
20,23,999,11,0,2,21,132,4,29,0,3,4,28,154,2,28,98,170,3,1,12,5,551,125,53,165,718,378,0.20999999999999996,133,543,11,440,2,28,5,92,2,1,34,2,19,8.142857142857139,2,49,9.428571428571429,1,121,10.964285714285698,1,5,1.3870967741935505,0,25,25,2,1995,1269,0.92992992992993,0.9200000000000002,0,2,2,1
1,8,279,7,0,1,0,36,2,13,0,3,2,18,73,1,18,36,40,0,1,7,17,108,36,20,41,170,89,0.4299999999999999,36,130,7,95,1,18,2,22,2,0,5,1,15,4.388888888888889,1,13,3.388888888888891,2,14,2.3333333333333286,1,3,1.04761904761905,0,3,3,2,290,11,0.9964157706093189,0.6666666666666673,0,1,2,1
0,9,143,4,0,1,0,16,2,11,0,0,2,8,38,1,8,16,24,0,2,4,8,48,16,8,20,89,48,0.4299999999999999,18,68,4,51,0,8,2,56,2,0,8,1,8,5.25,0,13,5.5,1,6,2.5,1,2,1.0,0,7,7,1,38,21,0.9860139860139863,1.0,0,1,1,1
0,3,9,1,0,1,1,1,1,3,0,0,1,1,0,1,1,1,4,0,0,1,1,2,1,1,4,7,1,0.0,2,5,1,3,0,1,1,100,2,0,0,1,7,7.0,7,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.7777777777777782,0.0,0,2,0,0
0,1,14,1,0,1,0,10,1,1,0,0,1,10,0,1,10,10,12,0,0,1,10,0,10,10,12,13,0,0.0,1,12,1,11,0,10,1,0,0,1,0,0,1,1.0138248847926263,0,1,0.97926267281106,0,1,1.0,1,0,0.0,0,1,1,1,12,0,0.935483870967743,0.45161290322580633,0,1,1,0
0,4,68,1,0,1,0,5,1,4,1,0,1,5,34,1,5,5,13,2,0,1,3,11,5,5,12,27,5,1.2600000000000002,7,17,1,11,0,4,1,0,3,0,10,1,6,3.2000000000000006,1,8,3.799999999999999,1,1,1.0,1,0,0.0,0,6,6,1,19,17,0.7647058823529407,1.0,0,2,1,0
0,3,85,1,0,0,0,7,0,4,0,0,0,6,41,0,6,7,15,0,2,1,6,9,7,6,15,34,9,1.234363636363636,9,25,1,17,0,6,0,50,1,0,4,1,7,3.9515151515151508,1,3,1.9134199134199155,0,1,1.1515151515151494,0,0,0.22727272727272727,0,0,0,0,0,0,0.582350830068911,0.4363636363636364,0,3,0,2
0,3,118,1,0,0,0,4,0,3,0,0,0,2,25,1,2,4,71,0,56,1,1,72,4,2,70,88,8,0.2850000000000001,5,79,1,73,0,2,0,22,0,0,2,0,1,0.5102040816326536,0,3,1.5816326530612248,0,1,0.6122448979591822,0,0,0.3571428571428571,0,5,5,2,148,104,0.7100458596521586,0.5122448979591835,0,2,2,0
1,5,278,11,0,1,12,75,2,5,1,0,2,36,4,2,36,64,64,0,7,12,35,117,66,44,64,226,88,0.020000000000000004,48,152,11,90,0,35,2,90,1,0,7,1,75,8.5,1,9,1.666666666666671,0,15,2.0277777777777786,1,4,0.5897435897435898,0,5,5,2,547,269,0.971223021582734,0.8000000000000005,0,1,2,1
2,12,222,7,0,1,1,26,2,14,0,0,2,10,22,2,10,24,60,3,7,7,4,92,26,15,63,162,68,0.13948717948717945,37,131,7,106,1,10,2,69,2,1,3,1,11,4.1628314705237806,1,16,6.13236905544598,1,22,4.29804952881876,1,3,1.4062342885872317,0,1,1,1,19,15,0.7358736942070271,1.0,0,2,1,0
0,1,478,1,0,1,0,135,1,2,0,1,1,135,260,1,135,135,143,0,0,1,135,0,135,135,141,144,0,1.81,74,141,1,140,0,135,1,0,0,1,10,0,30,2.4740740740740685,0,1,0.02962962962962959,0,1,1.0,1,0,0.0,0,12,12,5,50,31,0.7949790794979077,0.6666666666666672,0,2,5,2
0,3,38,1,0,1,0,1,1,3,0,0,1,1,31,1,1,1,4,0,0,1,1,1,1,1,4,7,1,4.524999999999997,1,5,1,2,0,1,1,0,2,0,1,1,3,3.0,3,1,1.5,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.9624999999999999,0.0,0,1,0,0
0,3,66,1,0,1,0,3,1,4,0,1,1,3,42,1,3,3,10,0,0,1,3,3,3,3,10,18,3,2.237701149425288,5,14,1,9,0,3,1,0,2,0,4,1,4,2.1053639846743297,0,2,1.7298850574712643,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.6349281195818983,0.011494252873563218,0,2,0,2
0,4,20,1,0,1,0,3,1,4,0,0,1,2,1,1,2,3,6,0,0,1,1,4,3,2,6,14,3,0.10818181818181817,4,10,1,6,0,2,1,0,3,0,0,1,0,0.25757575757575757,0,1,1.095959595959596,0,1,1.2575757575757576,1,0,0.38636363636363624,0,0,0,0,0,0,1.0,0.0,0,1,0,0
5,14,647,28,0,1,3,64,3,22,4,1,3,19,111,0,8,60,76,0,0,28,1,212,63,24,71,303,319,0.44620689655172435,93,391,26,334,3,3,3,22,0,0,2,0,10,3.7695867236593585,0,29,4.249853327640011,1,99620,6630.169064208026,1,4,0.9368842364532016,0,1,1,1,495,11,0.9786561632304079,1.0,0,1,1,0
0,9,433,13,0,1,0,89,2,10,28,0,2,30,41,2,30,73,99,0,5,15,30,187,73,44,75,329,148,0.12000000000000005,63,223,13,148,0,2,3,60,1,0,18,1,19,4.366666666666669,1,18,6.200000000000001,2,312,12.5,1,3,1.09090909090909,0,11,11,4,281,255,0.6743648960739032,0.545454545454545,0,4,4,1
14,9,828,23,2,1,6,181,2,10,10,0,2,59,106,2,59,136,186,0,6,29,42,380,161,95,172,595,282,0.17541666666666678,128,455,14,329,0,49,2,89,1,0,30,2,49,6.971654613242679,0,30,4.3969066015328995,1,130,5.447138966255624,1,3,0.7972233206608198,0,4,4,2,82,41,0.6372449797274381,0.7402777777777771,0,3,2,1
7,7,416,5,0,1,0,63,2,7,5,0,2,37,55,8,37,60,129,0,19,7,30,168,60,41,120,323,130,0.16999999999999996,38,250,5,186,0,32,2,87,2,2,12,2,9,2.297297297297299,0,18,3.702702702702699,0,8,1.7567567567567601,1,3,0.5434782608695647,0,27,27,1,782,344,1.0,1.0,0,1,1,0
3,38,359,23,0,6,0,96,11,43,0,2,8,7,47,1,7,54,36,0,4,28,4,216,79,42,37,281,174,0.16999999999999998,35,211,18,158,3,7,14,50,2,0,10,1,16,9.285714285714285,5,18,8.85714285714286,5,25,13.571428571428608,1,5,2.88888888888889,0,3,3,2,121,83,0.5459610027855146,0.6666666666666672,0,3,2,1
0,1,233,1,0,1,0,94,1,1,0,0,1,94,39,1,94,94,191,0,0,1,94,0,94,94,191,192,0,0.20000000000000007,2,191,1,190,0,94,1,0,0,3,95,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.39914163090128796,0.0,0,3,0,1
0,6,18,1,0,1,0,1,1,8,0,2,1,1,2,1,1,1,7,0,0,1,1,4,1,1,7,11,2,0.18000000000000005,5,9,1,7,0,1,1,0,2,0,3,1,0,0.0,0,7,7.0,7,1,1.0,1,0,0.0,0,2,2,2,2,2,0.7777777777777781,0.5,0,4,2,0
0,1,35,1,0,1,0,2,1,1,0,0,1,2,29,1,2,2,4,0,0,1,2,0,2,2,4,5,0,5.93,1,4,1,3,0,2,1,0,0,2,1,0,3,2.3374999999999995,1,1,0.5,0,1,1.0,1,0,0.0,0,0,0,0,0,0,1.0,0.0,0,1,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,3,0,0.0,1,2,0,1,0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0.8888888888888891,0.4444444444444444,0,1,0,0
0,1,66,1,0,1,0,3,1,6,0,5,1,3,53,1,3,3,6,0,0,1,3,0,3,3,6,8,0,7.292222222222225,5,6,1,5,0,3,1,0,0,0,4,0,1,1.0370370370370365,0,1,0.44444444444444337,0,1,1.0,1,0,0.0,0,1,1,0,1,1,0.9652777777777777,0.8888888888888886,0,1,0,0
1,18,95,4,0,2,1,6,2,22,0,0,2,3,5,3,3,6,34,0,0,4,2,43,6,5,33,71,31,0.07,21,64,4,57,4,3,2,100,2,0,4,2,6,2.66666666666667,0,20,8.66666666666667,1,6,2.66666666666667,1,2,1.0,0,6,6,3,6,102,0.8842105263157889,0.5,0,2,3,3
0,3,528,2,0,1,0,98,1,3,0,0,1,97,37,1,97,98,195,1,0,2,96,99,98,97,195,392,98,0.09000000000000002,99,293,2,195,0,97,1,0,1,0,96,2,95,1.9690721649484497,1,3,2.0,1,2,1.0103092783505196,1,1,0.04000000000000001,0,1,1,1,5,0,0.363636363636364,1.0,0,4,1,0
0,3,37,1,0,1,0,1,1,3,0,0,1,1,31,1,1,1,3,0,0,1,1,1,1,1,3,6,1,5.094782608695652,1,4,1,2,0,1,1,0,3,0,0,1,6,6.043478260869565,5,2,2.0,2,1,1.0,1,0,0.0,0,0,0,0,0,0,1.0,0.0,0,1,0,0
2,7,325,8,0,2,1,69,3,10,1,1,3,23,75,2,23,65,74,0,5,8,21,117,65,46,61,213,114,0.3499999999999998,41,175,8,111,0,22,3,80,2,0,15,2,10,3.4782608695652186,0,12,4.69565217391304,1,8,3.1304347826087002,1,4,1.07692307692308,0,13,13,4,285,486,0.3630769230769229,0.384615384615385,0,5,4,4
