OWN_COMMIT,Added_lines,Del_lines,MAJOR_COMMIT,DDEV,CountStmt,CountPath_Mean,CountStmtDecl,CountLineCodeDecl,CountLineCode,CountLineCodeExe,OWN_LINE,MaxNesting_Mean,SumCyclomaticStrict,CountLineComment,ADEV,CountSemicolon,CountLine,RatioCommentToCode,AvgLine
0.5,232,203,2,2,231,2.33333333333333,93,90,316,177,0.468682505399568,0.825,77,103,8,155,463,0.33,10
0.75,24,31,2,2,53,1.2,29,29,61,34,0.514563106796116,0.428571428571429,6,23,4,46,103,0.38,12
0.5,380,412,3,3,201,1.63636363636364,100,108,234,161,0.65615141955836,0.941176470588235,18,41,8,180,317,0.18,21
0.5,801,805,3,3,270,1.625,110,103,301,213,0.787528868360277,0.739130434782609,26,28,8,238,433,0.09,21
0.666666666666667,167,173,2,2,150,28.1428571428571,35,32,170,131,1.0,1.88888888888889,33,23,3,120,210,0.14,24
1.0,25,24,1,1,34,1.0,23,23,39,18,0.615384615384615,0.0,4,19,3,29,65,0.49,6
1.0,230,0,1,1,92,4.0,33,33,124,74,1.0,1.125,12,81,1,79,230,0.65,26
0.714285714285714,348,332,2,2,467,2.05263157894737,181,181,585,394,0.635650224215247,1.01694915254237,138,239,7,358,892,0.41,11
0.8,142,137,2,2,341,1.96052631578947,143,133,497,274,0.6768,0.662921348314607,149,45,5,210,625,0.09,6
1.0,20,24,1,1,81,1.30769230769231,52,52,100,47,0.826666666666667,0.4,17,27,2,63,150,0.27,6
0.666666666666667,18,21,2,2,42,1.66666666666667,20,20,56,31,0.802197802197802,1.0,10,23,3,31,91,0.41,8
0.666666666666667,89,67,2,2,139,1.01851851851852,81,81,197,59,0.446428571428571,0.0535714285714286,55,23,6,81,280,0.12,3
0.666666666666667,46,48,2,2,73,3.75,33,31,97,54,1.0,1.5,20,16,3,53,142,0.16,11
0.571428571428571,240,234,3,3,190,2.33333333333333,85,82,244,159,0.526143790849673,1.14814814814815,49,32,7,134,306,0.13,10
0.666666666666667,56,55,2,2,36,3.0,20,21,48,22,0.55952380952381,1.66666666666667,10,26,6,26,84,0.54,11
0.75,139,45,2,2,44,3.0,22,22,61,33,0.712765957446808,2.28571428571429,17,25,4,28,94,0.41,11
0.75,72,72,2,2,113,1.34615384615385,52,52,152,67,0.554054054054054,0.5,44,35,4,76,222,0.23,5
0.5,268,223,3,3,338,1.62962962962963,158,158,458,222,0.595873786407767,0.238095238095238,111,247,10,230,824,0.54,7
0.5,24,14,3,3,27,1.0,17,17,38,11,0.546511627906977,0.0,10,33,4,16,86,0.87,4
0.5,191,173,2,2,135,2.91304347826087,42,40,192,107,0.862359550561798,1.12,69,138,6,81,356,0.72,13
